Stock	Ticker	DivDate1	DivDate2	DivDate3	DivDate4	DivDate5	DivDate6	DivAmt1	DivAmt2	DivAmt3	DivAmt4	DivAmt5	DivAmt6	LastYrDivPerShare	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
SPARC	NSE:SPARC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWIGGY	NSE:SWIGGY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TATACONSUM	NSE:TATACONSUM	5/29/2025	5/24/2024	5/19/2023	06-09-2022	06-10-2021	0	8.25	0	0	0	0	0	8.25	0	0	0	0	8	0	0	0	0	0	0	0
TATAPOWER	NSE:TATAPOWER	6/20/2025	07-04-2024	06-07-2023	6/15/2022	6/17/2021	0	2.25	0	0	0	0	0	2.25	0	0	0	0	0	2	0	0	0	0	0	0
TATASTEEL	NSE:TATASTEEL	06-06-2025	6/21/2024	6/22/2023	6/15/2022	6/17/2021	0	3.6	0	0	0	0	0	3.6	0	0	0	0	0	4	0	0	0	0	0	0
TATATECH	NSE:TATATECH	6/16/2025	6/13/2024	0	0	0	0	11.7	0	0	0	0	0	11.7	0	0	0	0	0	12	0	0	0	0	0	0
TCS	NSE:TCS	1/16/2026	10/15/2025	7/16/2025	06-04-2025	1/17/2025	10/18/2024	0	11	11	30	76	0	128	76	0	0	0	0	30	11	0	0	11	0	0
TECHD-ST	NSE:TECHD-ST													0	0	0	0	0	0	0	0	0	0	0	0	0
TECHM	NSE:TECHM	10/20/2025	07-04-2025	10/31/2024	7/19/2024	11-02-2023	7/21/2023	15	30	0	0	0	0	45	0	0	0	0	0	0	30	0	0	15	0	0
THANGAMAYL	NSE:THANGAMAYL	7/21/2025	7/18/2024	02-12-2024	6/28/2023	02-01-2023	7/27/2022	12.5	0	0	0	0	0	12.5	0	0	0	0	0	0	13	0	0	0	0	0
THYROCARE	NSE:THYROCARE	10/24/2025	7/25/2025	8/16/2024	4/20/2023	05-11-2022	6/17/2021	2.33	7	0	0	0	0	9.33	0	0	0	0	0	0	7	0	0	2	0	0
TMB	NSE:TMB	08-01-2025	9/20/2024	8/29/2023	2/24/2023	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0
TMCV	NSE:TMCV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPV	NSE:TMPV	06-04-2025	06-11-2024	7/28/2023	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0
TRENT	NSE:TRENT	06-12-2025	5/22/2024	5/25/2023	5/20/2022	2/22/2022	07-09-2021	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0
UCOBANK	NSE:UCOBANK	05-09-2025	05-10-2024	0	0	0	0	0.39	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0
UNIECOM	NSE:UNIECOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNIONBANK	NSE:UNIONBANK	7/25/2025	7/19/2024	7/28/2023	6/22/2022	0	0	4.75	0	0	0	0	0	4.75	0	0	0	0	0	0	5	0	0	0	0	0
UNITDSPR	NSE:UNITDSPR	08-01-2025	04-03-2025	07-12-2024	11/17/2023	0	0	8	4	0	0	0	0	12	0	0	0	4	0	0	0	8	0	0	0	0
VBL	NSE:VBL	08-01-2025	05-07-2025	04-04-2025	08-09-2024	04-04-2024	8/14/2023	0.5	0.5	0.5	0	0	0	1.5	0	0	0	1	1	0	0	1	0	0	0	0
VIJAYA	NSE:VIJAYA	8/29/2025	8/30/2024	9/13/2023	9/20/2022	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
WIPRO	NSE:WIPRO	7/28/2025	1/28/2025	1/24/2024	1/24/2023	04-05-2022	1/21/2022	5	6	0	0	0	0	11	6	0	0	0	0	0	5	0	0	0	0	0
ZAGGLE	NSE:ZAGGLE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JIOFIN	NSE:JIOFIN	08-11-2025	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1	0	0	0	0
NSDL	BOM:544467	9/19/2025	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ADANIPOWER	NSE:ADANIPOWER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAYTM	NSE:PAYTM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAPPHIRE	NSE:SAPPHIRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
